ID,Ed1,Ed2,Ed3,Gen1,Gen2
120,1,0,1,0,1
121,1,0,1,0,1
122,1,0,0,1,0
123,1,0,1,0,1
124,1,0,1,0,1
125,0,0,0,0,1
126,1,0,1,1,0
127,1,1,1,0,1
128,1,0,1,1,0
129,1,0,1,1,0
130,0,0,0,0,1
131,0,0,0,1,0
132,1,0,1,0,1
133,1,0,1,1,0
134,1,0,0,0,1
135,1,1,1,1,0
136,0,0,0,0,1
137,1,0,1,0,1
138,0,1,0,0,1
139,1,0,1,0,1
140,0,0,1,1,0
141,1,0,1,0,1
142,1,0,0,1,0
143,1,0,1,0,1
144,0,0,1,1,0
145,0,0,1,0,1
146,0,1,0,0,1
147,1,0,1,1,0
148,1,0,1,0,0
149,1,0,1,1,0
150,1,1,1,1,0
151,0,0,0,0,1
152,1,1,1,0,1
153,1,0,1,0,1
154,0,0,0,1,0
155,1,0,1,1,0
156,1,0,1,0,1
157,1,1,1,0,1
158,1,0,0,0,1
159,1,0,1,0,1
160,1,1,1,0,1
161,1,0,1,0,1
162,0,0,1,1,0
163,0,1,0,0,1
164,0,0,0,0,1
165,1,0,0,0,1
166,0,0,0,0,1
167,1,1,1,1,0
168,1,0,0,0,1
169,1,0,1,0,1
170,1,0,1,0,1
171,1,1,1,0,1
172,1,0,1,0,1
173,1,0,1,0,1
174,0,0,0,0,1
175,0,0,1,0,1
176,1,0,1,0,1
177,1,0,1,1,0
178,1,0,1,1,0
179,1,0,1,1,0
180,1,1,1,0,1
181,0,0,0,0,1
182,1,1,0,1,0
183,1,0,1,1,0
184,0,0,0,0,1
185,0,0,0,0,1
186,0,0,0,1,0
187,0,1,0,0,1
188,1,0,1,0,1
189,0,0,0,0,1
190,0,0,0,1,0
191,0,0,0,0,1
192,1,0,1,0,1
193,0,0,1,0,1
194,1,1,1,1,0
195,0,0,0,0,0
196,1,1,0,0,1
197,1,1,1,0,1
198,1,1,1,1,0
199,1,0,1,0,1
200,1,0,1,0,1
201,1,0,1,0,0
202,0,1,1,0,1
203,1,0,1,1,0
204,1,1,0,0,1
205,1,0,1,1,0
206,1,1,1,0,1
207,1,0,1,1,0
208,1,1,1,0,1
209,1,0,1,0,1
210,1,0,1,1,0
211,1,0,1,0,1
212,1,0,1,0,1
213,1,1,1,1,0
214,0,0,1,0,1
215,0,1,0,0,1
216,0,0,0,0,1
217,0,0,0,1,0
218,1,0,0,0,1
219,1,0,1,0,1
220,1,0,1,0,1
221,1,0,1,0,1
222,1,0,1,1,0
223,1,0,0,1,0
224,1,0,1,0,1
225,1,0,1,0,1
226,1,0,1,0,1
227,1,0,1,1,0
228,0,0,0,1,0
229,1,0,1,1,0
230,0,0,0,0,1
231,0,0,0,1,0
232,1,0,1,0,1
233,1,1,1,1,0
234,1,0,1,1,0
235,0,0,0,1,0
236,1,0,0,1,0
237,1,0,1,0,0
238,0,0,0,0,1
239,1,0,1,1,0
240,1,1,0,1,0
241,0,0,0,0,1
242,0,0,0,0,1
243,0,0,0,1,0
244,0,0,0,0,1
245,0,1,0,1,0
246,0,0,0,1,0
247,1,1,1,0,1
248,1,0,1,0,1
249,1,1,1,0,1
250,1,0,1,1,0
251,0,0,0,1,0
252,1,1,1,1,0
253,1,0,0,1,0
254,1,1,0,0,1
255,1,1,1,0,1
256,1,1,1,1,0
257,1,0,1,1,0
258,1,0,1,0,1
259,0,0,0,0,1
260,0,0,0,0,1
261,1,1,1,0,1
262,0,0,0,0,1
263,1,1,1,0,1
264,0,0,0,1,0
265,1,0,1,0,1
266,1,1,0,0,1
267,0,0,1,0,1
268,1,0,0,0,1
269,1,1,1,1,0
270,0,0,0,1,0
271,1,0,1,0,1
272,1,1,1,0,0
273,1,1,1,1,0
274,1,0,1,0,1
275,0,0,0,0,1
276,1,0,1,0,1
277,0,0,0,0,1
278,0,0,1,1,0
279,1,0,1,1,0
280,0,0,0,0,1
281,1,0,1,0,1
282,1,0,0,0,1
283,1,1,1,0,1
284,0,0,0,0,1
285,1,0,1,0,1
286,0,0,0,0,1
287,0,0,0,1,0
288,1,0,1,0,1
289,1,0,1,0,1
290,1,0,1,0,1
291,1,1,1,0,1
292,0,0,0,1,0
293,1,0,1,0,1
294,0,0,0,0,1
295,1,0,1,0,1
296,1,0,1,1,0
297,1,0,1,0,1
298,1,0,0,1,0
299,1,1,0,0,1
300,1,0,1,1,0
301,1,0,1,1,0
302,1,1,0,1,0
303,0,0,0,1,0
304,0,0,0,1,0
305,0,0,0,0,1
306,0,0,0,0,1
307,1,1,0,0,1
308,1,0,1,0,1
309,1,1,0,1,0
310,0,0,0,1,0
311,0,0,0,0,1
312,0,0,0,0,1
313,1,0,1,0,1
314,1,0,1,0,1
315,0,0,0,1,0
316,0,0,0,1,0
317,1,1,0,0,1
318,1,0,1,0,1
319,1,0,1,1,0
320,1,1,1,0,1
321,0,0,0,0,1
322,0,0,0,1,0
323,1,1,1,0,1
324,0,0,0,0,1
325,0,0,0,0,1
326,1,0,1,0,1
327,0,0,0,1,0
328,1,0,1,0,1
329,0,0,0,0,1
330,1,1,1,1,0
331,1,1,0,0,1
332,1,0,1,0,1
333,0,0,1,1,0
334,1,0,1,1,0
335,1,1,1,0,1
336,1,1,1,1,0
337,0,0,0,1,0
338,1,0,1,1,0
339,1,1,1,0,1
340,1,0,1,1,0
341,1,0,1,1,0
342,1,0,1,0,1
343,0,0,0,0,1
344,1,0,1,0,1
345,1,0,0,1,0
346,1,1,1,0,1
347,1,0,0,0,1
348,1,1,1,0,1
349,1,0,1,0,1
350,0,1,1,0,1
351,1,1,1,0,1
352,1,1,1,0,1
353,0,0,0,1,0
354,1,1,1,0,1
355,1,1,1,0,1
356,1,0,0,1,0
357,0,0,1,0,1
358,0,0,0,0,0
359,1,1,0,0,1
360,0,0,0,1,0
361,1,0,1,0,1
362,1,1,1,1,0
363,1,1,1,0,1
364,1,1,0,0,1
365,1,1,1,0,1
366,0,0,0,0,1
367,1,1,1,0,1
368,1,1,1,0,1
369,1,1,1,0,1
370,1,1,1,1,0
371,0,0,0,1,0
372,0,0,0,0,1
373,1,1,1,1,0
374,1,1,1,0,1
375,1,0,0,0,1
376,1,1,1,0,1
377,0,0,0,0,1
378,1,1,1,0,1
379,1,1,1,1,0
380,0,0,1,0,1
381,0,0,0,1,0
382,1,0,1,0,1
383,1,1,1,0,1
384,0,0,0,0,1
385,1,0,0,1,0
386,1,1,0,1,0
387,1,1,1,0,1
388,1,1,1,0,1
389,0,0,0,0,1
390,1,0,0,1,0
391,0,1,0,0,1
392,1,1,0,1,0
393,0,1,0,1,0
394,1,1,0,0,1
395,1,1,1,0,1
396,1,0,1,0,1
397,1,1,1,0,1
398,1,1,1,0,1
399,1,1,1,1,0
400,1,1,1,0,1
401,0,0,0,0,1
402,1,1,1,0,1
403,1,1,1,0,1
404,0,1,0,0,1
405,1,1,1,0,1
406,1,0,1,0,1
407,1,1,1,0,1
408,1,1,1,0,1
409,0,0,0,0,1
410,0,0,0,1,0
411,1,0,1,1,0
412,0,0,0,1,0
413,0,0,0,0,1
414,1,1,1,0,1
415,1,1,1,0,1
416,1,1,1,1,0
417,0,0,0,1,0
418,1,0,1,0,1
419,1,1,1,0,1
420,1,1,1,0,1
421,1,1,1,0,1
422,1,0,1,0,1
423,1,1,1,1,0
424,0,0,0,0,1
425,0,0,0,0,1
426,0,1,0,0,1
427,1,1,1,0,1
428,1,1,1,0,1
429,0,1,0,1,0
430,0,0,0,0,1
431,0,0,0,0,1
432,1,1,1,0,1
433,1,1,1,0,1
434,1,1,1,0,1
435,1,1,1,0,1
436,0,0,0,0,1
437,1,0,1,0,1
438,1,1,1,0,1
439,1,1,1,0,1
440,1,1,0,0,1
441,1,1,0,0,1
442,0,0,0,1,0
443,1,0,1,0,1
444,1,1,1,0,1
445,0,1,0,0,1
446,1,0,0,1,0
447,0,0,0,0,0
448,0,0,0,0,1
449,0,1,0,0,1
450,1,1,1,0,1
451,1,1,1,0,1
452,1,1,1,0,1
453,1,0,0,1,0
454,1,1,1,0,1
455,1,1,1,0,1
456,1,1,1,0,1
457,1,0,1,0,1
458,1,1,1,0,1
459,0,0,0,0,1
460,1,1,1,0,1
461,1,0,0,1,0
462,1,1,1,0,1
463,0,0,0,1,0
464,0,0,0,0,1
465,0,0,0,0,1
466,1,0,1,0,1
467,1,0,0,0,1
468,0,0,0,1,0
469,1,1,0,0,1
470,0,0,1,0,1
471,1,1,1,0,1
472,0,0,0,1,0
473,1,1,0,1,0
474,1,1,1,0,1
475,1,1,1,0,1
476,0,0,0,0,1
477,1,1,1,0,1
478,1,1,1,0,1
479,1,1,1,0,1
480,1,1,1,0,1
481,1,1,1,0,1
482,1,0,0,0,1
483,1,1,1,0,1
484,1,0,1,0,1
485,1,1,0,0,1
486,1,0,1,0,1
487,1,1,0,0,1
488,1,1,1,0,1
489,1,1,1,0,1
490,1,1,0,0,1
491,1,1,0,0,1
492,0,0,0,1,0
493,1,1,1,0,1
494,1,0,1,0,1
495,0,0,1,0,1
496,1,1,1,0,1
497,1,1,1,1,0
498,1,0,1,1,0
499,0,0,0,1,0
500,0,0,0,0,1
501,1,1,0,0,1
502,1,0,1,0,1
503,1,1,1,1,0
504,1,0,1,0,1
505,0,0,0,0,1
506,1,0,0,0,1
507,0,1,0,0,1
508,1,1,1,0,1
509,0,0,0,0,1
510,1,1,1,0,1
511,0,1,1,0,1
512,1,1,1,0,1
513,0,0,0,0,1
514,1,1,1,0,1
515,1,1,1,0,1
516,1,1,1,0,1
517,1,1,0,0,1
518,1,1,1,0,1
519,1,1,1,0,1
520,1,1,1,0,1
521,0,0,0,1,0
522,1,0,1,0,1
523,1,1,1,0,1
524,1,1,1,1,0
525,1,1,1,0,1
526,0,0,0,0,1
527,0,0,0,0,0
528,0,1,0,1,0
529,0,0,0,0,1
530,1,1,1,0,1
531,1,1,0,0,1
532,1,1,1,0,1
533,1,1,1,0,1
534,1,1,1,0,1
535,1,1,1,0,1
536,0,0,0,0,1
537,1,1,1,1,0
538,1,1,1,0,1
539,1,1,0,0,1
540,1,1,1,0,1
541,1,1,1,0,1
542,1,1,0,1,0
543,1,1,1,0,1
544,1,1,1,0,1
545,1,1,1,0,1
546,1,1,1,0,1
547,1,1,1,1,0
548,1,1,1,1,0
549,1,1,0,0,1
550,1,0,1,0,1
551,1,1,1,0,1
552,0,0,0,0,1
553,1,1,1,1,0
554,0,0,0,0,1
555,1,1,1,1,0
556,1,1,1,0,1
557,1,1,1,0,1
558,1,1,1,0,1
559,1,1,1,0,1
560,1,1,0,1,0
561,1,0,1,0,1
562,1,0,1,0,1
563,1,1,0,0,1
564,0,1,0,1,0
565,0,0,0,1,0
566,1,1,1,1,0
567,1,1,1,1,0
568,0,0,0,0,1
569,1,1,1,0,1
570,1,1,1,0,1
571,1,0,1,1,0
572,1,0,1,1,0
573,1,0,1,0,1
574,1,0,1,1,0
575,1,1,1,0,1
576,1,0,1,1,0
577,1,1,1,1,0
578,1,0,1,0,1
579,1,1,1,0,1
580,1,1,1,1,0
581,0,0,0,0,1
582,1,1,1,0,1
583,1,0,1,0,1
584,1,0,1,1,0
585,1,1,1,0,1
586,0,0,0,1,0
587,1,1,0,1,0
588,1,1,1,0,1
589,1,0,1,0,1
590,1,1,1,1,0
591,1,1,1,1,0
592,1,1,1,0,1
593,1,0,1,0,1
594,1,1,0,0,1
595,1,0,1,1,0
596,1,1,1,0,1
597,0,0,1,0,1
598,1,0,1,0,1
599,1,0,1,1,0
600,1,0,0,0,1
601,1,1,1,0,0
602,0,0,0,0,0
603,1,1,1,0,1
604,1,1,1,0,1
605,1,0,1,0,1
606,1,1,1,0,1
607,0,0,0,0,0
608,1,0,1,0,1
609,0,1,0,0,1
610,0,1,0,0,1
611,1,0,1,0,1
612,1,1,1,1,0
613,0,0,0,1,0
614,1,1,0,0,1
615,0,0,0,1,0
616,1,0,1,1,0
617,1,1,1,0,1
618,1,0,1,0,1
619,1,1,1,0,1
620,0,0,0,0,1
621,1,0,1,1,0
622,1,0,1,0,1
623,0,0,0,1,0
624,0,0,0,1,0
625,1,0,1,0,1
626,1,1,1,0,1
627,1,1,1,0,1
628,1,1,0,0,1
629,1,1,1,1,0
630,1,0,1,0,1
631,1,0,1,0,1
632,1,1,0,0,1
633,1,0,1,0,1
634,1,1,1,0,1
635,1,1,0,1,0
636,1,0,1,1,0
637,0,0,0,0,1
638,0,0,0,0,0
639,1,1,1,0,1
640,1,0,1,1,0
641,1,1,1,1,0
642,0,0,0,0,1
643,1,1,1,0,1
644,1,1,1,0,1
645,1,0,1,0,1
646,1,1,1,0,1
647,1,1,1,0,1
648,1,0,1,1,0
649,1,1,0,0,1
650,1,0,0,1,0
651,0,0,0,0,1
652,1,1,0,1,0
653,1,1,1,0,1
654,1,1,1,0,1
655,1,0,1,0,1
656,1,1,0,0,1
657,1,0,1,0,1
658,1,0,1,0,1
659,0,0,0,1,0
660,0,0,0,1,0
661,1,0,0,0,1
662,1,1,1,0,1
663,1,0,1,1,0
664,1,0,1,0,1
665,1,1,1,0,1
666,1,0,1,0,1
667,0,0,0,1,0
668,0,0,0,0,0
669,0,0,0,0,1
670,1,1,0,0,1
671,1,1,1,0,1
672,0,0,0,1,0
673,1,1,1,0,1
674,0,0,0,0,0
675,1,1,0,0,1
676,1,1,0,0,1
677,1,1,1,0,1
678,1,0,1,0,1
679,1,1,1,1,0
680,1,1,1,0,1
681,1,1,1,0,1
682,1,1,1,0,1
683,0,0,0,0,1
684,1,1,1,0,1
685,1,1,1,1,0
686,1,1,0,1,0
687,1,0,1,0,1
688,1,0,1,0,1
689,1,1,0,1,0
690,1,0,1,0,1
691,0,0,0,1,0
692,0,1,1,0,1
693,0,0,0,1,0
694,0,0,0,0,1
695,1,0,1,0,1
696,0,0,0,0,1
697,1,0,0,1,0
698,0,0,0,0,1
699,0,1,0,0,1
700,0,0,0,0,1
701,0,0,1,0,1
702,0,1,0,1,0
703,0,0,1,1,0
704,0,0,0,1,0
705,1,0,1,1,0
706,1,0,0,0,1
707,1,1,1,1,0
708,0,0,0,0,1
709,1,0,1,1,0
710,0,0,1,1,0
711,0,0,0,1,0
712,0,0,0,0,1
713,1,1,1,1,0
714,1,0,0,1,0
715,1,1,0,0,1
716,0,0,0,1,0
717,1,0,0,1,0
718,1,1,1,1,0
719,1,0,1,1,0
720,0,0,1,1,0
721,0,0,0,0,1
722,1,0,0,0,1
723,1,0,1,0,1
724,0,0,0,0,1
725,0,0,0,0,1
726,1,0,1,0,1
727,0,0,0,0,1
728,1,0,1,1,0
729,0,0,0,0,1
730,1,0,1,0,1
731,1,0,1,0,1
732,0,1,1,1,0
733,1,1,1,0,0
734,0,0,0,0,0
735,1,0,0,0,1
736,1,1,1,0,0
737,1,0,0,1,0
738,1,0,0,0,1
739,0,0,0,1,0
740,1,0,1,1,0
741,1,1,1,1,0
742,0,0,0,1,0
743,1,0,0,1,0
744,1,0,0,0,1
745,1,0,1,1,0
746,0,1,0,1,0
747,1,0,1,0,1
748,0,1,1,0,1
749,1,1,1,1,0
750,1,0,0,0,1
751,0,0,0,1,0
752,1,0,1,0,1
753,0,0,0,1,0
754,1,0,1,1,0
755,1,1,1,1,0
756,0,0,0,1,0
757,0,1,1,1,0
758,0,0,0,0,0
759,1,0,1,1,0
760,1,1,0,0,1
761,0,0,0,0,1
762,0,0,0,0,1
763,0,0,0,0,1
764,1,0,1,1,0
765,1,0,1,1,0
766,1,0,1,0,1
767,0,0,0,0,1
768,0,0,0,1,0
769,1,0,1,0,1
770,0,0,0,1,0
771,0,0,0,0,1
772,0,0,0,1,0
773,0,0,0,0,1
774,1,0,1,0,1
775,1,0,0,0,1
776,1,1,0,0,1
777,0,0,0,0,1
778,1,1,1,1,0
779,0,0,0,1,0
780,1,1,0,1,0
781,0,0,1,1,0
782,0,0,0,1,0
783,0,0,0,1,0
784,0,0,0,0,0
785,0,1,0,0,1
786,1,0,1,1,0
787,0,0,1,1,0
788,1,1,1,1,0
789,0,1,0,1,0
790,0,0,1,1,0
791,0,0,0,1,0
792,0,1,1,1,0
793,0,0,0,1,0
794,0,0,0,1,0
795,0,0,0,1,0
796,0,1,1,0,1
797,1,0,1,0,1
798,0,0,0,1,0
799,1,0,0,1,0
800,0,0,0,1,0
801,0,0,0,1,0
802,1,0,1,0,1
803,0,0,0,0,1
804,1,0,1,0,1
805,0,0,0,1,0
806,0,0,0,0,1
807,1,0,1,1,0
808,1,0,0,1,0
809,0,1,1,1,0
810,0,0,0,0,1
811,1,0,1,1,0
812,0,0,0,0,0
813,1,1,1,1,0
814,0,0,0,1,0
815,0,0,0,1,0
816,0,0,0,0,1
817,0,0,0,1,0
818,1,0,1,0,1
819,0,0,0,1,0
820,1,0,1,1,0
821,1,0,1,1,0
822,1,0,1,1,0
823,0,0,0,1,0
824,0,0,0,1,0
825,1,1,1,0,1
826,1,0,1,1,0
827,0,0,0,1,0
828,1,0,1,1,0
829,1,1,1,0,1
830,0,0,0,0,0
831,1,0,1,0,1
832,1,0,1,0,1
833,0,0,0,0,1
834,1,0,1,0,1
835,0,0,0,1,0
836,0,0,0,1,0
837,0,0,0,1,0
838,1,1,1,1,0
839,1,1,1,0,1
840,0,0,0,0,1
841,0,0,0,0,0
842,0,0,0,1,0
843,0,0,0,1,0
844,0,0,0,1,0
845,0,0,0,1,0
846,1,0,1,0,1
847,0,0,0,0,1
848,0,0,0,1,0
849,1,0,1,0,1
850,0,0,0,0,1
851,1,0,1,1,0
852,0,0,0,1,0
853,0,0,1,1,0
854,1,0,0,1,0
855,0,0,0,1,0
856,1,1,1,0,1
857,0,0,0,0,1
858,0,0,0,0,1
859,1,1,1,0,1
860,1,1,1,0,1
861,1,1,1,1,0
862,1,1,1,0,1
863,1,0,1,0,1
864,0,0,0,0,1
865,1,0,0,0,1
866,0,0,0,0,1
867,1,1,0,1,0
868,0,1,0,0,1
869,0,0,0,0,1
870,1,0,1,0,1
871,1,0,0,1,0
872,0,0,0,1,0
873,0,1,1,0,1
874,0,1,1,0,1
875,0,0,0,0,0
876,1,0,0,0,1
877,1,1,1,0,1
878,0,0,0,0,1
879,0,0,0,0,1
880,0,0,0,1,0
881,1,0,1,0,1
882,0,0,0,1,0
883,0,0,0,0,1
884,1,0,1,1,0
885,0,1,1,1,0
886,0,0,0,1,0
887,0,0,0,0,1
888,1,1,1,0,1
889,0,0,0,0,1
890,1,0,1,1,0
891,0,0,0,0,1
892,0,0,0,0,1
893,1,1,0,0,1
894,0,0,0,0,1
895,1,0,1,0,1
896,1,1,1,0,1
897,0,0,0,1,0
898,1,0,1,0,1
899,0,0,0,1,0
900,1,1,0,0,1
901,0,0,0,0,1
902,1,0,1,0,1
903,0,0,0,0,1
904,0,1,1,0,1
905,1,0,0,0,1
906,0,0,0,0,1
907,0,0,0,1,0
908,1,1,1,1,0
909,1,1,1,0,1
910,0,0,0,1,0
911,0,0,0,1,0
912,0,0,0,0,1
913,1,1,1,0,1
914,1,1,1,0,1
915,1,1,1,0,1
916,1,0,1,1,0
917,1,0,1,0,1
918,1,1,0,1,0
919,1,0,1,1,0
920,1,0,1,1,0
921,1,0,1,0,1
922,1,0,1,0,1
923,0,0,0,1,0
924,1,0,1,0,1
925,1,1,1,1,0
926,0,0,0,0,1
927,0,0,0,0,1
928,0,1,0,0,1
929,0,0,0,0,1
930,1,1,1,0,1
931,1,1,1,0,1
932,1,0,1,0,1
933,1,1,1,1,0
934,1,1,1,0,1
935,1,1,1,0,1
936,1,1,0,0,1
937,1,0,1,1,0
938,0,0,0,1,0
939,1,1,1,0,1
940,1,0,0,0,1
941,1,0,1,1,0
942,1,1,1,0,1
943,1,0,0,0,1
944,1,0,1,0,1
945,1,0,1,0,1
946,1,1,0,1,0
947,1,1,1,1,0
948,1,1,0,0,1
949,1,0,1,0,1
950,1,1,1,0,1
951,0,1,1,0,1
952,1,0,1,0,1
953,1,0,1,1,0
954,1,0,1,1,0
955,0,0,0,0,1
956,0,1,1,0,1
957,1,0,1,0,1
958,0,0,0,0,1
959,1,0,0,1,0
960,1,0,1,0,1
961,1,1,1,0,1
962,1,1,1,0,1
963,1,1,1,0,1
964,1,0,1,0,1
965,1,0,1,1,0
966,1,0,1,0,1
967,0,0,0,1,0
968,1,1,1,0,1
969,0,0,0,0,1
970,0,1,0,0,1
971,1,0,1,0,1
972,0,0,0,1,0
973,0,0,0,0,1
974,1,0,1,1,0
975,1,1,1,0,1
976,1,1,1,0,1
977,1,0,0,0,1
978,1,0,1,0,1
979,1,0,1,0,1
980,1,0,1,0,1
981,1,0,1,0,1
982,0,0,0,1,0
983,0,0,0,1,0
984,0,0,1,0,1
985,0,0,1,0,1
986,1,0,1,0,1
987,1,0,1,0,1
988,1,0,1,0,1
989,1,0,1,1,0
990,0,0,0,0,1
991,0,0,0,0,0
992,1,0,1,0,1
993,1,0,1,1,0
994,1,0,1,1,0
995,1,0,1,0,1
996,0,0,0,0,1
997,1,0,1,0,1
998,1,0,1,0,1
999,1,0,1,1,0
1000,0,0,1,1,0
1001,1,0,1,1,0
1002,0,0,0,1,0
1003,1,1,1,0,1
1004,1,0,1,1,0
1005,1,0,1,0,1
1006,0,1,1,0,1
1007,1,0,1,0,1
1008,1,0,1,0,1
1009,0,0,1,1,0
1010,0,0,0,0,1
1011,1,0,0,0,1
1012,0,0,0,1,0
1013,0,0,0,0,1
1014,1,1,1,0,1
1015,1,0,1,0,1
1016,1,1,1,0,1
1017,0,0,0,1,0
1018,1,0,1,1,0
1019,1,1,1,0,1
1020,1,1,1,0,1
1021,1,1,1,0,1
1022,1,1,1,0,1
1023,1,0,1,1,0
1024,0,0,0,1,0
1025,1,1,1,0,1
1026,1,0,1,0,1
1027,1,0,1,0,1
1028,1,0,0,1,0
1029,1,0,1,0,1
1030,1,1,1,0,1
1031,0,0,0,0,1
1032,1,0,1,0,1
1033,1,1,1,0,1
1034,0,0,0,1,0
1035,1,0,1,0,1
1036,1,0,1,1,0
1037,1,0,1,0,1
1038,0,0,0,1,0
1039,0,0,0,1,0
1040,1,0,1,1,0
1041,1,0,1,0,1
1042,0,0,0,0,1
1043,0,0,0,1,0
1044,1,0,1,0,1
1045,1,1,1,0,1
1046,1,0,1,1,0
1047,1,0,1,1,0
1048,1,0,1,0,1
1049,0,0,0,0,1
1050,1,0,0,0,1
1051,1,0,1,0,1
1052,1,0,1,0,1
1053,0,0,0,0,1
1054,1,1,1,0,1
1055,1,0,0,1,0
1056,1,0,1,1,0
1057,0,0,0,0,1
1058,0,0,0,0,1
1059,1,0,1,0,1
1060,1,1,1,1,0
1061,0,0,0,0,1
1062,1,0,1,0,1
1063,1,0,0,1,0
1064,1,1,1,0,1
1065,0,0,0,1,0
1066,1,0,1,0,1
1067,1,0,1,1,0
1068,0,0,0,0,1
1069,0,0,0,1,0
1070,1,0,1,0,1
1071,1,0,1,0,1
1072,1,0,0,0,0
1073,1,1,1,0,1
1074,1,0,1,0,1
1075,1,1,1,0,1
1076,1,1,1,1,0
1077,1,0,1,0,1
1078,1,0,1,0,1
1079,0,0,0,1,0
1080,0,0,0,0,0
1081,0,1,1,0,1
1082,1,0,1,0,1
1083,1,0,1,0,1
1084,1,1,0,0,1
1085,1,1,1,0,1
1086,1,0,1,0,1
1087,1,0,1,0,1
1088,0,0,0,0,1
1089,0,0,0,0,1
1090,1,0,1,0,1
1091,0,0,0,0,0
1092,1,0,1,1,0
1093,1,0,0,0,1
1094,1,0,0,1,0
1095,1,0,1,0,1
1096,1,1,0,0,1
1097,1,0,1,0,1
1098,0,0,0,0,1
1099,1,0,1,0,1
1100,1,1,1,0,1
1101,1,1,1,0,0
1102,0,0,1,0,1
1103,1,0,1,1,0
1104,1,1,1,0,1
1105,0,0,0,0,1
1106,1,0,1,0,1
1107,1,0,1,0,1
1108,1,0,1,0,1
1109,1,0,1,0,1
1110,1,1,1,0,1
1111,1,1,1,0,1
1112,1,0,1,0,1
1113,1,1,1,0,1
1114,1,1,1,0,1
1115,1,0,1,0,1
1116,0,0,0,0,1
1117,1,0,0,1,0
1118,1,0,1,0,1
1119,1,1,1,1,0
1120,1,1,1,0,1
1121,1,0,0,0,1
1122,1,1,1,0,1
1123,1,0,0,0,1
1124,1,0,1,1,0
1125,1,0,1,1,0
1126,1,0,1,0,1
1127,1,0,1,1,0
1128,1,1,1,0,1
1129,1,0,1,0,1
1130,1,0,0,1,0
1131,1,0,1,0,1
1132,1,0,1,0,1
1133,0,0,0,1,0
1134,0,0,0,1,0
1135,1,1,1,0,1
1136,1,1,0,0,1
1137,0,0,0,1,0
1138,1,0,1,0,1
1139,1,1,1,0,1
1140,0,0,0,1,0
1141,1,0,1,1,0
1142,1,1,1,1,0
1143,1,0,1,0,1
1144,0,0,0,0,1
1145,1,1,1,1,0
1146,1,0,1,0,1
1147,1,0,1,0,1
1148,1,0,1,1,0
