ID,Ed1,Ed2,Ed3,G1,G2
1087,1,0,1,0,1
1088,0,0,0,0,1
1089,0,0,0,0,1
1090,1,0,1,0,1
1091,0,0,0,0,0
1092,1,0,1,1,0
1093,1,0,0,0,1
1094,1,0,0,1,0
1095,1,0,1,0,1
1096,1,1,0,0,1
1097,1,0,1,0,1
1098,0,0,0,0,1
1099,1,0,1,0,1
1100,1,1,1,0,1
1101,1,1,1,0,0
1102,0,0,1,0,1
1103,1,0,1,1,0
1104,1,1,1,0,1
1105,0,0,0,0,1
1106,1,0,1,0,1
1107,1,0,1,0,1
1108,1,0,1,0,1
1109,1,0,1,0,1
1110,1,1,1,0,1
1111,1,1,1,0,1
1112,1,0,1,0,1
1113,1,1,1,0,1
1114,1,1,1,0,1
1115,1,0,1,0,1
1116,0,0,0,0,1
1117,1,0,0,1,0
1118,1,0,1,0,1
1119,1,1,1,1,0
1120,1,1,1,0,1
1121,1,0,0,0,1
1122,1,1,1,0,1
1123,1,0,0,0,1
1124,1,0,1,1,0
1125,1,0,1,1,0
1126,1,0,1,0,1
1127,1,0,1,1,0
1128,1,1,1,0,1
1129,1,0,1,0,1
1130,1,0,0,1,0
1131,1,0,1,0,1
1132,1,0,1,0,1
1133,0,0,0,1,0
1134,0,0,0,1,0
1135,1,1,1,0,1
1136,1,1,0,0,1
1137,0,0,0,1,0
1138,1,0,1,0,1
1139,1,1,1,0,1
1140,0,0,0,1,0
1141,1,0,1,1,0
1142,1,1,1,1,0
1143,1,0,1,0,1
1144,0,0,0,0,1
1145,1,1,1,1,0
1146,1,0,1,0,1
1147,1,0,1,0,1
1148,1,0,1,1,0
1149,1,0,0,1,0
1150,1,0,0,1,0
1151,1,0,1,0,1
1152,1,1,1,0,1
1153,1,0,1,0,1
1154,1,0,1,0,1
1155,0,0,0,1,0
1156,1,0,1,1,0
1157,1,0,0,1,0
1158,1,0,1,0,1
1159,1,0,1,0,1
1160,1,0,1,0,1
1161,1,1,1,0,1
1162,1,1,1,1,0
1163,1,0,0,0,1
1164,1,0,1,0,1
1165,1,0,1,0,1
1166,1,0,1,0,1
1167,1,0,1,0,1
1168,1,0,1,0,1
1169,1,0,0,1,0
1170,1,0,1,0,1
1171,1,1,1,0,1
1172,1,0,1,0,1
1173,1,0,1,1,0
1174,0,0,0,1,0
1175,1,0,1,0,1
1176,0,0,0,0,1
1177,0,0,0,0,1
1178,0,0,0,0,1
1179,1,1,1,0,1
1180,1,0,1,0,1
1181,1,1,1,1,0
1182,1,0,1,1,0
1183,1,0,1,0,1
1184,1,0,1,0,1
1185,1,0,1,0,1
1186,1,0,1,0,1
1187,0,0,0,0,1
1188,1,0,1,0,1
1189,1,1,0,0,1
1190,1,0,1,0,1
1191,0,0,0,1,0
1192,1,1,1,1,0
1193,1,1,1,0,1
1194,1,0,1,1,0
1195,1,1,1,0,1
1196,1,0,1,1,0
1197,1,0,1,1,0
1198,1,0,1,1,0
1199,1,0,1,0,1
1200,0,0,0,1,0
1201,1,0,1,1,0
1202,1,1,1,0,1
1203,1,1,1,0,1
1204,1,1,1,1,0
1205,1,0,1,0,1
1206,1,0,1,0,1
1207,1,0,1,0,1
1208,0,0,0,1,0
1209,1,1,1,0,1
1210,0,0,0,0,0
1211,1,0,1,1,0
1212,0,1,0,1,0
1213,1,0,1,0,1
1214,1,0,0,1,0
1215,1,0,1,1,0
1216,0,0,0,0,1
1217,1,0,1,0,1
1218,1,1,1,0,1
1219,1,0,1,0,1
1220,0,1,0,1,0
1221,0,0,0,0,1
1222,1,0,1,0,1
1223,1,1,1,0,1
1224,1,1,0,0,1
1225,1,0,1,0,1
1226,0,0,0,0,1
1227,1,1,1,0,1
1228,1,0,1,1,0
1229,1,0,1,0,1
1230,1,0,1,0,1
1231,1,1,1,0,1
1232,1,1,1,0,1
1233,1,0,1,1,0
1234,1,0,1,1,0
1235,1,0,1,1,0
1236,1,0,1,0,1
1237,1,1,1,1,0
1238,1,0,1,0,1
1239,0,1,0,0,1
1240,1,1,1,1,0
1241,0,0,0,0,1
1242,1,0,1,0,1
1243,1,1,1,1,0
1244,1,0,1,0,1
1245,0,0,0,0,1
1246,1,1,1,0,1
1247,1,0,1,0,1
1248,1,0,1,0,1
1249,1,0,1,0,1
1250,1,0,1,0,1
1251,0,0,0,0,1
1252,1,1,1,0,1
1253,0,0,0,1,0
1254,0,0,0,1,0
1255,1,0,1,1,0
1256,1,0,0,0,1
1257,1,0,1,1,0
1258,1,1,1,0,1
1259,1,1,0,0,1
1260,0,0,0,0,1
1261,1,1,1,0,1
1262,1,1,1,0,1
1263,1,0,0,0,1
1264,1,0,1,0,1
1265,1,0,1,0,1
1266,0,0,0,1,0
1267,1,0,1,0,1
1268,0,0,0,0,0
1269,1,0,1,0,1
1270,1,0,0,1,0
1271,1,1,1,1,0
1272,1,0,1,0,1
1273,0,0,0,1,0
1274,1,1,1,1,0
1275,1,0,1,0,1
1276,1,1,0,1,0
1277,1,0,1,0,1
1278,1,1,1,0,1
1279,1,0,1,0,1
1280,1,0,1,0,1
1281,1,1,1,0,1
1282,1,0,1,0,1
1283,0,0,0,0,1
1284,1,1,1,1,0
1285,1,0,1,1,0
1286,0,0,0,0,1
1287,1,0,1,1,0
1288,1,0,1,0,1
1289,0,0,0,1,0
1290,1,1,0,1,0
1291,1,0,1,0,1
1292,1,0,1,0,1
1293,1,1,0,0,1
1294,1,1,1,0,1
1295,1,1,0,1,0
1296,1,1,1,0,1
1297,1,1,1,0,1
1298,0,0,0,0,1
1299,1,0,1,0,1
1300,1,1,0,0,1
1301,1,1,0,0,1
1302,1,0,1,0,1
1303,1,0,1,1,0
1304,1,0,1,0,1
1305,1,0,1,0,1
1306,1,0,1,0,1
1307,1,1,0,0,1
1308,1,0,1,0,1
1309,1,0,1,1,0
1310,1,0,1,0,1
1311,1,0,1,0,1
1312,1,0,1,1,0
1313,1,0,1,0,1
1314,1,0,0,0,1
1315,0,0,1,1,0
1316,0,0,1,0,1
1317,0,0,0,0,1
1318,1,1,1,0,1
1319,1,1,1,1,0
1320,1,1,0,0,1
1321,1,0,1,1,0
1322,1,1,1,0,1
1323,0,0,0,0,1
1324,1,1,1,1,0
1325,1,1,0,0,1
1326,0,0,0,1,0
1327,1,0,1,1,0
1328,0,0,0,0,1
1329,1,1,1,1,0
1330,1,0,1,1,0
1331,1,0,1,1,0
1332,1,1,1,0,1
1333,1,0,1,0,1
1334,1,0,1,0,1
1335,1,0,1,1,0
1336,1,0,1,1,0
1337,0,1,0,0,1
1338,1,0,1,0,1
1339,1,0,0,1,0
1340,1,0,1,0,1
1341,1,0,1,0,1
1342,1,1,1,1,0
1343,1,1,1,0,1
1344,1,1,0,0,1
1345,1,0,1,0,1
1346,0,0,1,0,1
1347,0,0,0,0,1
1348,1,0,0,0,1
1349,1,1,1,0,1
1350,1,0,1,0,1
1351,0,0,0,0,1
1352,1,0,1,0,1
1353,1,1,1,0,1
1354,1,0,1,0,1
1355,1,0,1,0,1
1356,0,1,1,0,1
1357,1,1,1,0,1
1358,0,0,0,1,0
1359,1,0,1,0,1
1360,1,1,1,0,1
1361,1,0,1,0,1
1362,1,1,1,0,1
1363,1,0,1,0,1
1364,1,0,1,0,1
1365,0,0,0,1,0
1366,1,0,1,0,1
1367,1,0,1,0,1
1368,0,0,0,0,1
1369,1,0,1,0,1
1370,1,0,1,1,0
1371,1,0,1,0,1
1372,1,1,0,1,0
1373,1,0,1,0,1
1374,1,1,0,0,1
1375,1,0,1,0,1
1376,1,0,1,1,0
1377,1,0,1,0,1
1378,1,1,1,1,0
1379,1,1,1,0,1
1380,1,0,1,1,0
1381,1,0,1,1,0
1382,1,0,1,0,1
1383,1,0,1,1,0
1384,1,0,1,1,0
1385,1,1,1,0,1
1386,0,0,0,0,1
1387,1,1,1,0,1
1388,1,0,1,0,1
1389,1,0,0,0,1
1390,1,0,1,0,1
1391,1,1,1,0,1
1392,1,0,1,0,1
1393,1,0,1,0,1
1394,1,1,1,1,0
1395,1,0,0,1,0
1396,1,0,1,1,0
1397,1,0,1,1,0
1398,0,0,0,1,0
1399,1,0,1,0,1
1400,1,1,1,1,0
1401,1,0,0,0,1
1402,1,0,1,1,0
1403,1,1,0,1,0
1404,1,0,1,0,1
1405,1,1,1,1,0
1406,1,0,1,0,1
1407,1,1,1,0,1
1408,1,1,1,0,1
1409,0,0,0,0,1
1410,1,1,1,0,1
1411,0,0,0,1,0
1412,0,0,0,0,1
1413,1,0,1,1,0
1414,0,0,0,0,0
1415,1,0,0,0,1
1416,1,0,1,0,1
1417,1,0,1,1,0
1418,1,1,1,0,1
1419,0,0,0,1,0
1420,1,0,1,0,1
1421,1,1,1,0,1
1422,1,0,0,0,1
1423,1,1,1,1,0
1424,1,1,1,0,1
1425,1,1,1,1,0
1426,1,0,1,0,1
1427,1,1,1,1,0
1428,1,1,1,0,1
1429,1,1,1,0,1
1430,1,1,1,0,1
1431,1,1,1,0,1
1432,1,1,1,0,1
1433,1,1,1,1,0
1434,0,0,0,1,0
1435,1,0,1,0,1
1436,0,0,0,0,1
1437,1,0,0,1,0
1438,1,0,1,0,1
1439,1,0,1,0,1
1440,1,0,1,1,0
1441,0,0,0,1,0
1442,1,0,1,1,0
1443,1,0,1,0,1
1444,0,1,1,0,1
1445,1,1,1,1,0
1446,1,1,0,1,0
1447,0,0,0,1,0
1448,1,0,1,0,1
1449,1,0,1,0,1
1450,1,1,1,0,1
1451,1,0,1,1,0
1452,1,1,0,0,1
1453,1,0,1,0,1
1454,0,0,1,0,1
1455,0,0,0,1,0
1456,1,0,1,0,1
1457,1,0,1,1,0
1458,1,0,1,1,0
1459,1,0,1,0,1
1460,1,0,1,0,1
1461,0,0,0,0,1
1462,1,0,1,0,1
1463,1,0,0,1,0
1464,1,1,1,1,0
1465,1,1,1,0,1
1466,1,0,1,1,0
1467,1,1,1,0,1
1468,1,1,1,0,1
1469,1,0,1,0,1
1470,1,0,1,0,1
1471,1,1,1,0,1
1472,0,0,0,0,1
1473,1,1,1,0,1
1474,1,0,1,1,0
1475,1,1,1,1,0
1476,1,0,1,1,0
1477,1,0,0,1,0
1478,1,1,1,1,0
1479,1,0,1,0,1
1480,1,0,0,0,1
1481,1,0,1,0,1
1482,1,0,0,0,1
1483,1,0,1,1,0
1484,1,1,1,0,1
1485,1,1,1,1,0
1486,0,1,1,0,1
1487,1,0,1,1,0
1488,1,0,1,1,0
1489,1,0,1,1,0
1490,1,0,1,0,1
1491,1,0,1,0,1
1492,1,1,1,1,0
1493,0,0,0,1,0
1494,0,1,1,0,1
1495,1,0,1,1,0
1496,1,1,1,0,1
1497,1,1,1,1,0
1498,1,1,0,1,0
1499,1,0,1,0,1
1500,1,0,1,0,1
1501,1,0,1,0,1
1502,1,0,1,0,1
1503,1,0,1,0,1
1504,1,0,1,0,1
1505,0,0,0,1,0
1506,0,0,0,1,0
1507,1,0,1,0,1
1508,0,0,0,1,0
1509,1,0,0,1,0
1510,1,1,0,1,0
1511,1,1,0,1,0
1512,1,1,1,0,1
1513,1,0,1,0,1
1514,0,0,0,0,1
1515,1,1,1,1,0
1516,1,0,0,0,1
1517,1,0,1,0,1
1518,1,1,0,1,0
1519,0,0,0,1,0
1520,1,0,0,0,1
1521,1,0,1,1,0
1522,0,0,0,1,0
1523,0,0,0,1,0
1524,1,0,1,0,0
1525,1,0,1,0,1
1526,0,0,0,1,0
1527,0,0,0,0,1
1528,1,1,1,0,1
1529,1,1,1,0,1
1530,1,0,1,1,0
1531,1,1,1,0,1
1532,1,0,1,1,0
1533,0,0,0,0,1
1534,0,0,0,0,1
1535,1,0,1,0,1
1536,1,0,1,0,1
1537,1,1,0,1,0
1538,1,0,0,0,1
1539,1,1,1,0,1
1540,0,0,0,1,0
1541,1,0,1,0,1
1542,1,0,1,0,1
1543,1,1,0,0,1
1544,1,0,1,0,1
1545,1,1,1,0,1
1546,1,1,1,0,1
1547,1,0,1,0,1
1548,1,1,1,0,1
1549,1,1,1,0,1
1550,1,1,1,1,0
1551,1,0,1,1,0
1552,1,0,1,1,0
1553,1,1,1,0,1
1554,1,0,1,0,1
1555,0,0,0,0,1
1556,1,0,1,1,0
1557,1,0,1,0,1
1558,1,0,1,0,1
1559,1,0,0,1,0
1560,1,0,0,1,0
1561,1,1,1,0,1
1562,1,0,1,0,1
1563,1,0,1,1,0
1564,1,0,1,0,1
1565,1,1,1,0,1
1566,1,1,1,1,0
1567,0,1,0,1,0
1568,1,1,1,1,0
1569,0,1,0,0,1
1570,1,0,1,0,1
1571,1,0,1,0,1
1572,1,1,1,0,1
1573,1,1,1,0,1
1574,1,1,0,0,1
1575,1,0,1,0,1
1576,1,0,1,1,0
1577,1,1,1,0,1
1578,1,0,1,0,1
1579,0,0,0,0,1
1580,1,0,1,1,0
1581,0,0,0,1,0
1582,1,0,1,0,1
1583,1,0,1,0,1
1584,1,1,1,0,1
1585,1,1,1,1,0
1586,1,0,1,1,0
1587,1,1,1,0,1
1588,1,1,0,0,1
1589,1,0,1,1,0
1590,0,0,0,1,0
1591,1,0,1,0,1
1592,1,1,0,1,0
1593,0,0,0,1,0
1594,1,0,1,1,0
1595,1,0,1,1,0
1596,1,1,1,0,1
1597,0,0,0,1,0
1598,1,0,1,1,0
1599,0,1,0,0,1
1600,1,1,1,0,1
1601,0,0,0,0,1
1602,0,1,0,0,1
1603,1,0,1,0,1
1604,1,0,1,0,1
1605,1,0,1,1,0
1606,1,1,1,0,1
1607,0,0,0,0,1
1608,1,0,1,0,1
1609,1,1,1,0,1
1610,1,1,1,0,1
1611,0,1,1,0,1
1612,1,1,1,1,0
1613,1,0,1,1,0
1614,1,0,1,1,0
1615,1,1,1,0,1
1616,0,1,0,1,0
1617,0,0,0,1,0
1618,1,1,1,1,0
1619,1,0,1,1,0
1620,1,0,1,0,1
1621,1,0,1,0,1
1622,1,0,1,0,1
1623,1,0,1,1,0
1624,1,1,0,0,1
1625,1,1,1,0,1
1626,1,0,1,1,0
1627,1,0,0,1,0
1628,1,0,1,0,1
1629,1,1,1,0,1
1630,1,0,1,0,1
1631,1,0,1,0,1
1632,1,1,1,0,1
1633,1,0,1,0,1
1634,0,0,1,0,1
1635,1,0,1,0,1
1636,1,1,1,0,1
1637,0,0,0,1,0
1638,0,0,0,1,0
1639,1,1,1,0,1
1640,0,0,1,0,1
1641,1,0,1,0,1
1642,0,0,0,0,1
1643,1,0,0,1,0
1644,1,0,1,1,0
1645,1,1,1,0,1
1646,1,0,1,0,1
1647,1,0,1,1,0
1648,1,0,1,1,0
1649,1,0,1,0,1
1650,1,0,1,0,1
1651,0,0,0,1,0
1652,1,0,1,0,1
1653,1,0,1,0,1
1654,1,0,0,1,0
1655,0,0,0,1,0
1656,1,0,1,0,1
1657,0,0,0,1,0
1658,1,0,1,0,1
1659,1,1,1,1,0
1660,1,1,1,0,1
1661,1,1,1,1,0
1662,1,0,0,1,0
1663,1,0,1,0,1
1664,0,0,0,0,1
1665,1,0,1,1,0
1666,0,0,0,0,1
1667,1,0,1,0,1
1668,1,0,1,0,1
1669,0,0,0,0,1
1670,1,0,1,0,1
1671,0,0,0,0,1
1672,1,0,1,0,1
1673,1,0,1,0,1
1674,0,0,0,1,0
1675,1,0,1,0,1
1676,1,1,0,0,1
1677,1,1,1,0,1
1678,1,1,1,0,1
1679,1,0,1,0,1
1680,1,0,1,1,0
1681,1,0,1,0,1
1682,1,0,1,1,0
1683,1,0,1,0,1
1684,1,1,1,0,1
1685,0,0,0,0,1
1686,1,0,1,0,1
1687,1,1,0,0,1
1688,0,0,0,0,1
1689,0,0,0,0,1
1690,0,0,0,0,1
1691,1,0,1,0,1
1692,1,1,1,1,0
1693,1,1,1,0,1
1694,1,1,1,1,0
1695,1,1,1,0,1
1696,1,1,1,0,1
1697,1,1,0,1,0
1698,1,1,0,1,0
1699,1,1,1,0,1
1700,0,0,0,1,0
1701,1,1,1,0,1
1702,1,1,1,1,0
1703,1,1,1,0,1
1704,1,0,1,1,0
1705,0,0,0,1,0
1706,1,0,1,1,0
1707,1,0,1,1,0
1708,1,0,0,0,1
1709,1,1,1,0,1
1710,1,0,1,1,0
1711,1,1,1,1,0
1712,1,0,1,1,0
1713,1,1,0,0,1
1714,0,0,0,0,1
1715,1,1,1,1,0
1716,0,0,0,1,0
1717,1,1,1,1,0
1718,1,1,1,0,1
1719,1,1,1,0,1
1720,1,1,1,0,1
1721,1,0,1,0,1
1722,1,0,1,1,0
1723,1,0,0,0,0
1724,1,0,1,1,0
1725,1,0,1,1,0
1726,1,1,1,0,1
1727,1,1,1,0,1
1728,1,0,1,1,0
1729,1,0,1,0,1
1730,1,0,1,0,1
1731,1,1,1,0,1
1732,1,0,1,1,0
1733,1,0,1,0,1
1734,0,0,0,0,1
1735,1,0,0,1,0
1736,1,0,1,1,0
1737,1,0,1,0,1
1738,1,0,1,0,1
1739,0,0,0,1,0
1740,0,0,0,0,1
1741,1,0,1,1,0
1742,1,0,1,0,1
1743,1,1,1,1,0
1744,1,1,1,0,1
1745,1,0,1,0,1
1746,1,1,1,0,1
1747,0,0,0,0,1
1748,1,0,1,0,1
1749,1,0,1,1,0
1750,1,1,1,1,0
1751,1,0,1,1,0
1752,1,0,1,1,0
1753,1,0,1,1,0
1754,0,0,0,1,0
1755,1,0,0,1,0
1756,1,0,1,0,1
1757,1,0,1,0,1
1758,0,0,0,0,1
1759,1,0,0,0,1
1760,1,1,1,0,1
1761,1,1,1,0,1
1762,1,0,1,1,0
1763,1,1,1,0,1
1764,1,0,1,0,1
1765,1,0,1,0,1
1766,1,0,0,1,0
1767,1,0,1,0,1
1768,1,1,1,1,0
1769,1,0,0,1,0
1770,1,0,1,0,1
1771,0,1,0,0,1
1772,1,0,1,1,0
1773,1,1,0,1,0
1774,1,0,0,1,0
1775,0,0,0,1,0
1776,1,0,1,0,1
1777,1,1,1,0,1
1778,1,1,1,0,1
1779,1,1,1,1,0
1780,0,0,0,0,1
1781,0,0,1,0,1
1782,1,0,1,0,1
1783,1,0,1,0,1
1784,1,0,1,0,1
1785,0,0,0,1,0
1786,1,0,1,0,1
1787,0,0,0,1,0
1788,1,1,1,0,1
1789,1,0,1,0,1
1790,0,0,0,1,0
1791,1,1,0,1,0
1792,1,0,1,0,1
1793,0,0,0,1,0
1794,1,1,1,0,1
1795,0,0,0,0,1
1796,1,0,1,0,1
1797,0,0,0,1,0
1798,1,1,1,0,1
1799,1,0,1,1,0
1800,1,1,1,0,1
1801,1,1,1,1,0
1802,0,0,0,0,1
1803,0,0,0,0,1
1804,1,0,1,0,1
1805,1,1,1,1,0
1806,1,0,1,1,0
1807,1,1,1,0,1
1808,0,0,0,1,0
1809,1,0,1,0,1
1810,1,0,1,0,1
1811,1,1,1,0,1
1812,1,0,1,1,0
1813,0,0,0,0,1
1814,1,1,1,0,1
1815,1,0,1,0,1
1816,1,1,1,0,1
1817,0,0,0,1,0
1818,1,0,1,0,1
1819,1,0,1,0,1
1820,1,0,1,0,1
1821,1,0,1,1,0
1822,1,0,1,1,0
1823,1,0,1,0,1
1824,1,0,1,1,0
1825,1,1,1,0,1
1826,1,0,1,0,1
1827,0,0,0,1,0
1828,1,0,1,0,1
1829,1,1,1,0,1
1830,1,1,1,0,1
1831,0,0,0,0,1
1832,1,0,1,0,1
1833,1,0,1,0,1
1834,1,0,1,1,0
1835,1,1,1,1,0
1836,0,0,0,1,0
1837,1,1,1,0,1
1838,0,0,0,1,0
1839,1,0,1,1,0
1840,1,1,1,0,1
1841,1,0,1,1,0
1842,1,0,0,0,1
1843,1,0,1,0,1
1844,1,1,1,0,1
1845,1,0,1,0,1
1846,1,0,1,1,0
1847,0,0,0,0,1
1848,1,0,1,1,0
1849,0,0,0,1,0
1850,1,0,1,0,1
1851,1,0,1,0,1
1852,0,0,0,0,1
1853,1,0,1,1,0
1854,1,0,1,0,1
1855,0,0,0,1,0
1856,1,0,0,0,0
1857,1,0,1,0,1
1858,0,0,0,1,0
1859,1,0,1,0,1
1860,1,0,0,0,1
1861,1,0,1,0,1
1862,1,1,1,0,1
1863,1,0,1,0,1
1864,1,0,1,0,1
1865,1,0,1,1,0
1866,0,0,0,0,1
1867,1,0,1,0,1
1868,1,0,1,0,1
1869,1,0,1,1,0
1870,1,1,1,0,1
1871,0,0,1,0,1
1872,1,1,1,0,1
1873,1,1,1,0,1
1874,1,0,1,0,1
1875,1,1,1,1,0
1876,1,0,1,0,1
1877,1,0,1,0,1
1878,1,1,1,1,0
1879,1,0,1,1,0
1880,1,1,1,0,1
1881,1,1,1,1,0
1882,1,1,1,1,0
1883,0,0,0,0,1
1884,1,1,1,0,1
1885,1,0,1,0,1
1886,1,1,1,1,0
1887,1,0,1,0,1
1888,1,1,1,0,1
1889,0,0,0,0,1
1890,1,0,1,1,0
1891,1,0,1,0,1
1892,1,0,1,0,1
1893,1,1,1,1,0
1894,1,1,1,0,1
1895,1,0,1,0,1
1896,1,1,1,0,1
1897,1,0,1,0,1
1898,1,0,1,0,1
1899,1,0,1,0,1
1900,1,0,1,1,0
1901,1,0,1,1,0
1902,1,0,1,1,0
1903,1,1,1,0,1
1904,1,0,0,0,1
1905,0,0,0,0,1
1906,0,0,0,0,1
1907,1,0,1,0,1
1908,1,0,1,0,1
1909,1,0,1,1,0
1910,1,1,1,0,1
1911,1,0,1,1,0
